,MASS_MEAN,MASS_STD,MASS_MAX,MASS_MODE,ATOMIC_RADII_STD,ATOMIC_RADII_MAX,ELECTRON_NEG_MEAN,ELECTRON_NEG_STD,ELECTRON_NEG_MIN,ELECTRON_NEG_MODE,IONIZATION_ENERGIES_MIN,ELECTRON_AFFINITIES_MEAN,ELECTRON_AFFINITIES_STD,ELECTRON_AFFINITIES_MIN,ELECTRON_AFFINITIES_MODE,IONIC_RADII_MEAN,IONIC_RADII_STD,IONIC_RADII_MAX,IONIC_RADII_MIN,IONIC_RADII_MODE,VALENCE_MEAN,VALENCE_STD,VALENCE_MAX,VALENCE_MIN,SHELL_RANGE,SHELL_MODE,S_E_MEAN,S_E_MODE,P_E_MEAN,P_E_STD,P_E_MAX,BLOCK_MEAN,BLOCK_RANGE,BLOCK_MIN,P_UNFILLED_STD,P_UNFILLED_MAX,D_UNFILLED_MEAN,MAX_OXIDATION_STATE_MEAN,MAX_OXIDATION_STATE_STD,MELTING_POINT_MEAN,MELTING_POINT_STD,MELTING_POINT_MIN,MELTING_POINT_MODE,MENDELEEV_NO_RANGE,MENDELEEV_NO_MODE,MOLAR_VOLUME_MEAN,MOLAR_VOLUME_STD,MOLAR_VOLUME_MIN,MOLAR_VOLUME_MODE,BOILING_POINT_MAX,ELEMENT_NUM,L2_NORM,N_ATOMS,SPACE_GROUP,GAMMA,A,B,C,DENSITY,LABEL
21,29.52327,2.54173,32.065,26.981539,0.125,1.25,2.095,0.48499995,1.61,1.61,18.82855,1.2549698,0.8221348,0.432835,0.432835,0.77750003,0.10249999,0.88,0.675,0.675,2.5,1.5,4.0,1.0,0.0,3.0,2.0,2.0,2.5,1.5,4.0,1.0,0.0,1.0,1.5,5.0,0.0,4.5,1.5,660.9149,272.555,388.36,388.36,14.0,80.0,12.764999,2.7649999,10.0,10.0,2792.0,2.0,0.70710677,4.0,164.0,120.00006,3.5981672,3.5981605,5.723571,3.0557249,0.0
22,40.96737,7.7984924,51.9961,35.453,0.1885618,1.4,2.66,0.7071068,1.66,3.16,16.486305,2.633764,1.3844604,0.6758412,3.6127253,0.8333333,0.07542474,0.94,0.78,0.78,3.3333333,2.3570228,5.0,0.0,1.0,3.0,1.6666666,2.0,3.3333333,2.3570228,5.0,1.3333334,1.0,1.0,0.4714045,1.0,1.6666666,6.6666665,0.4714045,841.0667,946.7688,171.6,171.6,42.0,99.0,14.003333,4.7894697,7.23,17.39,2944.0,2.0,0.74535596,6.0,14.0,122.002106,7.434465,3.9402199,3.670415,4.4765406,0.0
23,72.64,0.0,72.64,72.64,0.0,1.25,2.01,0.0,2.01,2.01,15.93461,1.2326764,0.0,1.2326764,1.2326764,0.77,0.0,0.77,0.77,0.77,2.0,0.0,2.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,4.0,0.0,1211.4,0.0,1211.4,1211.4,0.0,84.0,13.63,0.0,13.63,13.63,3093.0,1.0,1.0,2.0,164.0,120.0,4.046915,4.046915,1.938194,8.775641,0.0
24,64.95075,14.00925,78.96,50.9415,0.100000024,1.35,2.09,0.45999998,1.63,1.63,14.634,1.2741333,0.7464713,0.527662,0.527662,0.8954166,0.11791667,1.0133333,0.7775,0.7775,3.5,0.5,4.0,3.0,0.0,4.0,2.0,2.0,2.0,2.0,4.0,1.5,1.0,1.0,1.0,2.0,3.5,5.5,0.5,1338.5,844.5,494.0,494.0,39.0,54.0,12.369999,4.05,8.32,8.32,3680.0,2.0,0.70710677,4.0,164.0,120.0,3.6025102,3.6025102,5.7293816,6.699531,0.0
25,54.09552,47.96053,180.94788,35.453,0.40345192,2.2,2.6599998,0.88255316,0.82,3.16,16.2,2.8126163,1.3865463,0.32312,3.6127253,0.87749994,0.24319488,1.52,0.78,0.78,4.25,1.3919411,5.0,1.0,3.0,3.0,1.875,2.0,3.75,2.1650636,5.0,1.0,2.0,0.0,0.4330127,1.0,0.875,6.0,2.0,582.01624,1024.9445,171.6,171.6,89.0,99.0,20.14125,9.98323,10.85,17.39,5731.0,3.0,0.77055174,16.0,4.0,89.992966,7.5125585,7.2738886,10.596106,2.4821591,0.0
26,92.304504,27.630373,126.90447,78.96,0.13190909,1.45,2.2719998,0.41849253,1.55,2.55,15.63999,1.5255325,1.2045488,-0.52,2.0206046,0.95566666,0.20871459,1.2733333,0.6483333,1.0133333,4.2,0.74833155,5.0,3.0,1.0,4.0,2.0,2.0,3.2,1.7204651,5.0,1.2,1.0,1.0,1.0198039,3.0,1.0,6.2,0.74833155,759.526,418.9285,386.85,494.0,37.0,93.0,16.82,5.8495774,7.35,16.42,2334.0,4.0,0.52915025,10.0,10.0,90.0,11.41441,3.9176419,5.7038417,6.009334,0.0
27,165.99164,38.39165,204.3833,127.6,0.25,1.9,1.86,0.23999995,1.62,1.62,18.6,1.1454644,0.82541126,0.3200532,0.3200532,1.3129166,0.019583344,1.3325,1.2933333,1.2933333,2.5,1.5,4.0,1.0,1.0,5.0,2.0,2.0,2.5,1.5,4.0,1.0,0.0,1.0,1.5,5.0,0.0,4.5,1.5,649.82996,72.82999,577.0,577.0,14.0,78.0,18.84,1.6199999,17.22,17.22,1746.0,2.0,0.70710677,4.0,164.0,119.9718,5.229385,5.2249265,5.177558,8.996749,1.0
28,95.573,32.027,127.6,63.546,0.024999976,1.4,1.9999999,0.099999964,1.9,1.9,18.6,1.6033299,0.36754584,1.235784,1.235784,1.0566666,0.23666665,1.2933333,0.82,0.82,2.5,1.5,4.0,1.0,1.0,4.0,1.5,1.0,2.0,2.0,4.0,1.5,1.0,1.0,1.0,2.0,0.0,5.0,1.0,1040.215,317.55502,722.66,722.66,20.0,72.0,13.785,6.6749997,7.11,7.11,3200.0,2.0,0.70710677,4.0,123.0,90.0,3.889915,3.8883665,4.921745,8.527425,1.0
29,131.872,51.968,183.84,79.904,0.100000024,1.35,2.6599998,0.30000007,2.36,2.36,16.37,2.0899282,1.2736602,0.816268,0.816268,0.8245833,0.05791667,0.8825,0.76666665,0.76666665,4.5,0.5,5.0,4.0,2.0,4.0,2.0,2.0,2.5,2.5,5.0,1.5,1.0,1.0,0.5,1.0,3.0,6.5,0.5,1980.3999,1714.6,265.8,265.8,43.0,55.0,14.625,5.155,9.47,9.47,5828.0,2.0,0.70710677,4.0,164.0,119.99044,3.2985241,3.2975707,6.8692455,13.535254,1.0
30,123.107475,5.8684278,127.6,114.818,0.07071067,1.55,2.18,0.36368486,1.78,1.78,18.6,1.8046179,1.0984251,0.383926,0.383926,1.1688889,0.1620547,1.2933333,0.94,0.94,3.3333333,1.6996732,5.0,1.0,0.0,5.0,2.0,2.0,3.3333333,1.6996732,5.0,1.0,0.0,1.0,1.6996732,5.0,0.0,5.3333335,1.699673,513.0867,149.22205,386.85,386.85,18.0,79.0,20.646667,4.0682945,15.76,15.76,2345.0,3.0,0.57735026,12.0,14.0,90.0,8.53998,7.832393,6.4490285,5.686816,0.0
31,84.4986,81.4129,178.49,178.49,0.4469853,1.55,2.2685716,0.90374506,1.3,1.3,14.61,0.8543783,0.59050953,0.17807,0.17807,0.81,0.36449572,1.26,0.3,0.85,2.5714285,0.9035079,4.0,2.0,4.0,2.0,2.0,2.0,1.7142857,1.6659862,4.0,1.4285715,1.0,1.0,1.6659862,4.0,3.4285715,3.4285715,0.9035079,2175.3713,1444.2213,54.8,2506.0,51.0,50.0,12.231429,4.680557,5.29,13.44,4876.0,3.0,0.58901507,7.0,187.0,120.0,3.2708657,3.2708657,8.022226,13.214347,0.0
