,symbol,T,bte_3
383,Na2Se,250,6.029942169
384,Na2Se,300,5.03799721
385,Na2Se,350,4.326766695
386,Na2Se,400,3.791669678
387,Na2Se,450,3.374424932
388,Na2Se,500,3.039936945
389,Na2Se,550,2.765796211
390,Na2Se,600,2.537018028
391,Na2Se,650,2.343201149
392,Na2Se,700,2.176899174
393,Na2Se,750,2.03264057
394,Na2Se,800,1.906314551
395,Na2Se,850,1.794772763
396,Na2Se,900,1.69556316
397,Na2Se,950,1.606747576
398,Na2Se,1000,1.526773794
399,NaS2Sc,100,15.63691646
400,NaS2Sc,150,9.542229855
401,NaS2Sc,200,7.004933721
402,NaS2Sc,250,5.566231908
403,NaS2Sc,300,4.626931434
404,NaS2Sc,350,3.961953741
405,NaS2Sc,400,3.465313125
406,NaS2Sc,450,3.079856079
407,NaS2Sc,500,2.771833408
408,NaS2Sc,550,2.51996306
409,NaS2Sc,600,2.310134292
410,NaS2Sc,650,2.132611345
411,NaS2Sc,700,1.980455298
412,NaS2Sc,750,1.848584903
413,NaS2Sc,800,1.733192861
414,NaS2Sc,850,1.631369564
415,NaS2Sc,900,1.540852948
416,NaS2Sc,950,1.459857675
417,NaS2Sc,1000,1.38695573
418,NiSbY,100,25.3609091
419,NiSbY,150,16.67826124
420,NiSbY,200,12.55931607
421,NiSbY,250,10.10079173
422,NiSbY,300,8.456019379
423,NiSbY,350,7.275261181
424,NiSbY,400,6.385358446
425,NiSbY,450,5.69018848
426,NiSbY,500,5.131935395
427,NiSbY,550,4.673674773
428,NiSbY,600,4.290694801
429,NiSbY,650,3.965822167
430,NiSbY,700,3.686746154
431,NiSbY,750,3.444408844
432,NiSbY,800,3.231996008
433,NiSbY,850,3.044282155
434,NiSbY,900,2.877192579
435,NiSbY,950,2.727502839
436,NiSbY,1000,2.592627815
437,O2Rb2,100,5.445229084
438,O2Rb2,150,3.391799995
439,O2Rb2,200,2.481703108
440,O2Rb2,250,1.962733122
441,O2Rb2,300,1.625549239
442,O2Rb2,350,1.388223354
443,O2Rb2,400,1.211852431
444,O2Rb2,450,1.075505129
445,O2Rb2,500,0.9668862184
446,O2Rb2,550,0.8782860099
447,O2Rb2,600,0.8046191885
448,O2Rb2,650,0.7423929979
449,O2Rb2,700,0.6891277096
450,O2Rb2,750,0.6430134533
451,O2Rb2,800,0.6026979308
452,O2Rb2,850,0.5671501729
453,O2Rb2,900,0.5355703084
454,O2Rb2,950,0.5073281607
455,O2Rb2,1000,0.4819204577
456,SSr,100,30.80013111
457,SSr,150,18.95727741
458,SSr,200,13.85200464
459,SSr,250,10.95815128
460,SSr,300,9.08024762
461,SSr,350,7.758389598
462,SSr,400,6.775602369
463,SSr,450,6.015437982
464,SSr,500,5.409553583
465,SSr,550,4.915101095
466,SSr,600,4.50381257
467,SSr,650,4.156266129
468,SSr,700,3.858667474
469,SSr,750,3.600944463
470,SSr,800,3.375568343
